datetime,count,inches
Nov 29 2015  3:40AM, 19.56, 0.01
Nov 28 2015  6:10AM, 19.55, 0.01
Nov 28 2015  5:10AM, 19.54, 0.02
Nov 28 2015  4:55AM, 19.52, 0.03
Nov 28 2015  4:10AM, 19.49, 0.01
Nov 28 2015  3:55AM, 19.48, 0.01
Nov 28 2015  3:40AM, 19.47, 0.01
Nov 28 2015  3:25AM, 19.46, 0.02
Nov 28 2015  2:55AM, 19.44, 0.01
Nov 28 2015  1:55AM, 19.43, 0.01
Nov 28 2015  1:40AM, 19.42, 0.01
Nov 27 2015 11:55PM, 19.41, 0.02
Nov 27 2015 11:40PM, 19.39, 0.03
Nov 27 2015 11:25PM, 19.36, 0.01
Nov 27 2015 11:10PM, 19.35, 0.01
Nov 27 2015 10:10PM, 19.34, 0.01
Nov 27 2015  8:10PM, 19.33, 0.01
Nov 27 2015  7:55PM, 19.32, 0.01
Nov 27 2015  7:40PM, 19.31, 0.02
Nov 27 2015  7:25PM, 19.29, 0.01
Nov 27 2015  6:55PM, 19.28, 0.01
Nov 27 2015  6:40PM, 19.27, 0.02
Nov 27 2015  6:10PM, 19.25, 0.01
Nov 27 2015  4:25PM, 19.24, 0.01
Nov 27 2015  4:10PM, 19.23, 0.02
Nov 27 2015  3:55PM, 19.21, 0.03
Nov 27 2015  1:40PM, 19.18, 0.01
Nov 27 2015  6:25AM, 19.17, 0.01
Nov 27 2015  6:10AM, 19.16, 0.01
Nov 27 2015  5:55AM, 19.15, 0.02
Nov 27 2015  5:40AM, 19.13, 0.01
Nov 27 2015  4:25AM, 19.12, 0.01
Nov 27 2015  3:40AM, 19.11, 0.01
Nov 26 2015  9:55PM, 19.10, 0.01
Nov 26 2015  8:25PM, 19.09, 0.01
Nov 26 2015  8:10PM, 19.08, 0.01
Nov 26 2015  7:55PM, 19.07, 0.02
Nov 26 2015  7:10PM, 19.05, 0.01
Nov 26 2015  3:25PM, 19.04, 0.01
Nov 26 2015  1:10PM, 19.03, 0.01
Nov 26 2015 11:55AM, 19.02, 0.01
Nov 26 2015 10:55AM, 19.01, 0.01
Nov 26 2015 10:40AM, 19.00, 0.01
Nov 26 2015 10:10AM, 18.99, 0.02
Nov 26 2015  9:55AM, 18.97, 0.02
Nov 17 2015  8:55AM, 18.95, 0.01
Nov 17 2015  8:40AM, 18.94, 0.01
Nov 17 2015  7:55AM, 18.93, 0.01
Nov 17 2015  7:40AM, 18.92, 0.02
Nov 17 2015  7:25AM, 18.90, 0.04
Nov 17 2015  7:10AM, 18.86, 0.12
Nov 17 2015  6:55AM, 18.74, 0.13
Nov 17 2015  6:40AM, 18.61, 0.10
Nov 16 2015  2:10PM, 18.51, 0.01
Nov 14 2015  2:55PM, 18.50, 0.01
Nov 14 2015  1:55PM, 18.49, 0.01
Nov  7 2015 12:25PM, 18.48, 0.01
Nov  7 2015 11:10AM, 18.47, 0.01
Nov  7 2015 10:55AM, 18.46, 0.02
Nov  7 2015 10:40AM, 18.44, 0.02
Nov  7 2015 10:25AM, 18.42, 0.01
Nov  7 2015  9:55AM, 18.41, 0.05
Nov  7 2015  9:40AM, 18.36, 0.04
Nov  7 2015  9:25AM, 18.32, 0.05
Nov  7 2015  9:10AM, 18.27, 0.04
Nov  7 2015  7:25AM, 18.23, 0.01
Nov  7 2015  6:55AM, 18.22, 0.03
Nov  7 2015  6:25AM, 18.19, 0.02
Nov  7 2015  6:10AM, 18.17, 0.01
Nov  7 2015  5:25AM, 18.16, 0.01
Nov  7 2015  3:10AM, 18.15, 0.04
Nov  7 2015  2:55AM, 18.11, 0.04
Nov  7 2015  2:40AM, 18.07, 0.04
Nov  7 2015 12:40AM, 18.03, 0.01
Nov  7 2015 12:25AM, 18.02, 0.01
Nov  5 2015  8:55AM, 18.01, 0.02
Nov  1 2015  7:25AM, 17.99, 0.01
Nov  1 2015  6:40AM, 17.98, 0.01
Nov  1 2015  6:25AM, 17.97, 0.05
Oct 31 2015  5:25AM, 17.92, 0.01
Oct 31 2015  5:10AM, 17.91, 0.04
Oct 31 2015  4:55AM, 17.87, 0.05
Oct 31 2015  4:40AM, 17.82, 0.06
Oct 31 2015  4:25AM, 17.76, 0.17
Oct 31 2015  4:10AM, 17.59, 0.58
Oct 31 2015  3:55AM, 17.01, 0.36
Oct 31 2015  3:40AM, 16.65, 0.04
Oct 30 2015 10:55PM, 16.61, 0.01
Oct 30 2015  8:25PM, 16.60, 0.01
Oct 30 2015  6:25PM, 16.59, 0.02
Oct 30 2015 11:55AM, 16.57, 0.01
Oct 30 2015 11:40AM, 16.56, 0.04
Oct 30 2015 11:25AM, 16.52, 0.15
Oct 30 2015 11:10AM, 16.37, 1.43
Oct 30 2015 10:40AM, 14.94, 0.44
Oct 30 2015 10:25AM, 14.50, 0.53
Oct 30 2015 10:10AM, 13.97, 0.79
Oct 30 2015  9:55AM, 13.18, 0.52
Oct 30 2015  9:40AM, 12.66, 0.87
Oct 30 2015  9:25AM, 11.79, 2.10
Oct 30 2015  8:55AM, 9.69, 0.56
Oct 30 2015  8:40AM, 9.13, 0.55
Oct 30 2015  8:25AM, 8.58, 0.20
Oct 30 2015  8:10AM, 8.38, 0.15
Oct 30 2015  7:55AM, 8.23, 0.07
Oct 30 2015  7:25AM, 8.16, 0.05
Oct 30 2015  7:10AM, 8.11, 0.14
Oct 30 2015  6:55AM, 7.97, 0.11
Oct 30 2015  6:40AM, 7.86, 0.09
Oct 30 2015  6:25AM, 7.77, 0.13
Oct 30 2015  6:10AM, 7.64, 0.06
Oct 30 2015  5:55AM, 7.58, 0.03
Oct 30 2015  5:40AM, 7.55, 0.03
Oct 30 2015  5:25AM, 7.52, 0.04
Oct 25 2015 11:55AM, 7.48, 0.01
Oct 25 2015 11:25AM, 7.47, 0.02
Oct 25 2015 11:10AM, 7.45, 0.01
Oct 25 2015 10:55AM, 7.44, 0.01
Oct 25 2015 10:40AM, 7.43, 0.01
Oct 25 2015 10:25AM, 7.42, 0.01
Oct 25 2015  9:10AM, 7.41, 0.01
Oct 25 2015  8:40AM, 7.40, 0.03
Oct 25 2015  8:25AM, 7.37, 0.03
Oct 25 2015  8:10AM, 7.34, 0.01
Oct 25 2015  7:55AM, 7.33, 0.01
Oct 25 2015  7:10AM, 7.32, 0.01
Oct 25 2015  6:40AM, 7.31, 0.01
Oct 25 2015  6:25AM, 7.30, 0.02
Oct 25 2015  6:10AM, 7.28, 0.01
Oct 25 2015  5:55AM, 7.27, 0.04
Oct 25 2015  5:40AM, 7.23, 0.03
Oct 25 2015  5:25AM, 7.20, 0.03
Oct 25 2015  5:10AM, 7.17, 0.03
Oct 25 2015  4:55AM, 7.14, 0.06
Oct 25 2015  4:40AM, 7.08, 0.06
Oct 25 2015  4:25AM, 7.02, 0.06
Oct 25 2015  4:10AM, 6.96, 0.06
Oct 25 2015  3:55AM, 6.90, 0.02
Oct 25 2015  3:40AM, 6.88, 0.01
Oct 25 2015  1:55AM, 6.87, 0.01
Oct 25 2015  1:40AM, 6.86, 0.01
Oct 25 2015  1:25AM, 6.85, 0.01
Oct 25 2015  1:10AM, 6.84, 0.01
Oct 25 2015 12:55AM, 6.83, 0.01
Oct 25 2015 12:40AM, 6.82, 0.01
Oct 25 2015 12:25AM, 6.81, 0.01
Oct 25 2015 12:10AM, 6.80, 0.02
Oct 24 2015 11:55PM, 6.78, 0.02
Oct 24 2015 11:40PM, 6.76, 0.01
Oct 24 2015 10:55PM, 6.75, 0.01
Oct 24 2015  9:40PM, 6.74, 0.01
Oct 24 2015  9:25PM, 6.73, 0.01
Oct 24 2015  9:10PM, 6.72, 0.02
Oct 24 2015  8:55PM, 6.70, 0.01
Oct 24 2015  8:40PM, 6.69, 0.02
Oct 24 2015  8:25PM, 6.67, 0.03
Oct 24 2015  8:10PM, 6.64, 0.01
Oct 24 2015  7:55PM, 6.63, 0.03
Oct 24 2015  7:40PM, 6.60, 0.03
Oct 24 2015  7:25PM, 6.57, 0.02
Oct 24 2015  7:10PM, 6.55, 0.02
Oct 24 2015  6:55PM, 6.53, 0.03
Oct 24 2015  6:40PM, 6.50, 0.03
Oct 24 2015  6:25PM, 6.47, 0.02
Oct 24 2015  6:10PM, 6.45, 0.02
Oct 24 2015  5:55PM, 6.43, 0.02
